epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.028,0.55137,8.56085,1.19027,0.00369,1,0.32793,0.17592,0.49248,3.35325,1.08783,0.000411392,0.000411392,0.000411392
2,32.7886,0.54283,3.14657,1.14654,0.00391,0.93939,0.24655,0.09964,0.85556,4.93136,1.64586,0.000811664,0.000811664,0.000811664
3,47.1833,0.56915,2.75011,1.15706,0.00451,0.9531,0.01637,0.00394,0.83797,6.38476,1.41063,0.00119543,0.00119543,0.00119543
4,61.5852,0.54032,1.69556,1.14104,0.00475,1,0.0159,0.00726,0.59639,4.65059,1.35598,0.00117575,0.00117575,0.00117575
5,75.9177,0.55559,1.30792,1.15991,0.02336,0.71443,0.17349,0.05502,0.68005,5.28829,1.44551,0.001151,0.001151,0.001151
6,90.1738,0.47055,1.05492,1.07382,0,0,0,0,0.55174,5.99302,1.10992,0.00112625,0.00112625,0.00112625
7,104.714,0.44336,0.76064,1.05442,0.14513,0.35,0.14813,0.11874,0.61105,4.83298,1.19345,0.0011015,0.0011015,0.0011015
8,119.316,0.47522,0.66638,1.08677,0,0,0,0,0.68678,5.75638,1.18161,0.00107675,0.00107675,0.00107675
9,134.069,0.43476,0.55472,1.0726,0,0,0,0,0.57676,6.19837,1.13655,0.001052,0.001052,0.001052
10,148.667,0.40326,0.51866,1.04014,0,0,0,0,0.41516,6.0902,0.85146,0.00102725,0.00102725,0.00102725
11,163.152,0.39698,0.55386,1.02141,0,0,0,0,0.60173,6.83572,1.26058,0.0010025,0.0010025,0.0010025
