epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9256,0.88715,3.86902,1.55217,0.00901,1,0.44609,0.42648,0.22073,3.23315,0.70148,0.0001625,0.0001625,0.0001625
2,28.5401,0.29998,1.82298,1.04337,0.00573,1,0.41713,0.33303,0.36943,3.26284,0.89471,0.000304088,0.000304088,0.000304088
3,32.1049,0.26428,1.31445,1.0131,0.00492,1,0.30024,0.29013,0.22047,3.2774,0.75487,0.000411025,0.000411025,0.000411025
4,35.7719,0.22343,1.18992,0.97073,0.00547,1,0.35928,0.26958,0.18664,3.28533,0.72971,0.000483313,0.000483313,0.000483313
5,39.4267,0.20908,1.14728,0.97624,0.0056,1,0.2605,0.19651,0.16968,3.30674,0.60897,0.00052095,0.00052095,0.00052095
6,43.0021,0.18684,1.03371,0.98886,0.00527,1,0.39815,0.34512,0.23926,3.5554,0.70981,0.000523937,0.000523937,0.000523937
7,46.3016,0.17811,0.96445,0.9865,0.00515,1,0.41878,0.29676,0.25378,3.83708,0.71571,0.000492275,0.000492275,0.000492275
8,49.4592,0.16529,0.90985,0.93002,0.00436,1,0.3129,0.21369,0.26937,4.06038,0.68577,0.00038375,0.00038375,0.00038375
9,52.666,0.1404,0.89293,0.89997,0.00449,1,0.33011,0.25811,0.28547,4.35968,0.72844,0.00026,0.00026,0.00026
10,55.8844,0.12024,0.84908,0.91808,0.00455,1,0.39016,0.32501,0.23602,4.72687,0.65159,0.00013625,0.00013625,0.00013625
