epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,306.408,0.6536,0.97967,0.38434,1.00259,0.99907,1,0.995,0.842,0.99377,0.99419,0.99228,0.69643,0.67287,1.09234,0.35031,1.0943,0.0011884,0.0011884,0.0011884
31,316.164,0.61159,0.98825,0.3694,0.9885,0.9977,1,0.995,0.86637,0.99191,0.99419,0.99249,0.70064,0.58282,1.05686,0.31643,1.00842,0.0011719,0.0011719,0.0011719
32,325.908,0.60412,1.04553,0.36555,0.98797,0.99848,1,0.995,0.8566,0.99268,0.99419,0.99137,0.69168,0.59192,1.11776,0.32116,1.00734,0.0011554,0.0011554,0.0011554
33,335.532,0.60177,0.96877,0.35834,0.98264,0.99629,1,0.995,0.84654,0.99052,0.99419,0.99004,0.68703,0.62072,1.07177,0.33994,1.02565,0.00113889,0.00113889,0.00113889
34,345.125,0.58636,0.93888,0.35929,0.97341,0.99858,1,0.995,0.84976,0.99277,0.99419,0.98969,0.70833,0.6046,1.05428,0.34625,1.00698,0.00112239,0.00112239,0.00112239
35,354.722,0.57937,0.94006,0.35453,0.96827,0.99615,1,0.995,0.84123,0.99038,0.99419,0.99094,0.68459,0.64146,1.13966,0.32849,1.06526,0.00110589,0.00110589,0.00110589
36,364.308,0.58519,0.93997,0.36021,0.97724,0.99812,1,0.995,0.84797,0.99233,0.99419,0.98834,0.70567,0.64329,1.04631,0.34059,1.01202,0.00108938,0.00108938,0.00108938
37,374.281,0.57858,0.91638,0.35199,0.96796,0.9809,1,0.99442,0.85784,0.97531,0.99419,0.98817,0.68394,0.60325,1.09931,0.32811,1.01108,0.00107288,0.00107288,0.00107288
38,383.883,0.587,0.94135,0.3524,0.96221,0.99801,1,0.995,0.85591,0.99222,0.99419,0.98989,0.70867,0.58934,1.06047,0.32628,0.99101,0.00105638,0.00105638,0.00105638
39,393.446,0.5666,0.9007,0.34668,0.95877,0.99631,1,0.995,0.835,0.99054,0.99419,0.98921,0.69543,0.64633,1.07372,0.33426,1.01168,0.00103987,0.00103987,0.00103987
40,403.009,0.57821,0.94905,0.35182,0.96731,0.99792,1,0.995,0.83562,0.99211,0.99419,0.9911,0.68564,0.63828,1.11026,0.34449,1.02102,0.00102337,0.00102337,0.00102337
41,412.547,0.55516,0.91965,0.3321,0.95345,0.99871,1,0.995,0.86258,0.99291,0.99419,0.99102,0.69866,0.57979,1.0782,0.29493,0.98004,0.00100687,0.00100687,0.00100687
42,422.144,0.56598,0.93652,0.33542,0.96419,0.99874,1,0.995,0.86909,0.99294,0.99419,0.98911,0.70352,0.54336,1.01383,0.28681,0.95963,0.000990365,0.000990365,0.000990365
43,432.208,0.56723,0.90394,0.33817,0.96168,0.99877,1,0.995,0.8593,0.98715,0.98837,0.98382,0.69627,0.63259,1.02542,0.30917,1.05549,0.000973861,0.000973861,0.000973861
44,442.065,0.53975,0.87156,0.32029,0.94332,0.99708,0.99963,0.995,0.8329,0.9913,0.99382,0.98973,0.66979,0.66986,1.03357,0.32351,1.06379,0.000957358,0.000957358,0.000957358
45,451.696,0.59626,0.90172,0.33922,0.96505,0.98752,1,0.99375,0.86391,0.97605,0.98837,0.98048,0.70213,0.58959,1.11513,0.31672,0.99329,0.000940855,0.000940855,0.000940855
46,461.267,0.58039,0.9166,0.33668,0.96856,0.99868,1,0.995,0.86764,0.98708,0.98837,0.98388,0.70097,0.60395,1.07564,0.312,0.9884,0.000924352,0.000924352,0.000924352
47,470.841,0.5642,0.91561,0.33143,0.95715,0.99844,0.99983,0.995,0.85671,0.99694,0.99419,0.99295,0.71057,0.61435,1.04215,0.31545,0.98543,0.000907848,0.000907848,0.000907848
48,480.448,0.56241,0.87281,0.32441,0.96191,0.99875,1,0.995,0.8484,0.99762,0.99419,0.99277,0.68963,0.61374,1.06164,0.30078,1.01831,0.000891345,0.000891345,0.000891345
49,489.953,0.54945,0.90176,0.33036,0.96196,0.999,1,0.995,0.86763,0.99319,0.99419,0.9905,0.71811,0.58498,1.08254,0.29729,0.99054,0.000874842,0.000874842,0.000874842
50,499.526,0.54462,0.88391,0.33297,0.95635,0.99924,1,0.995,0.84023,0.99343,0.99419,0.98938,0.69887,0.61502,1.07278,0.31668,0.99889,0.000858338,0.000858338,0.000858338
51,509.515,0.53383,0.87129,0.32441,0.95083,0.99831,1,0.995,0.8623,0.99252,0.99419,0.9886,0.71399,0.59741,1.03887,0.30596,1.00607,0.000841835,0.000841835,0.000841835
52,519.171,0.52308,0.86035,0.31741,0.94016,0.99862,1,0.995,0.86066,0.99282,0.99419,0.99252,0.7191,0.62608,1.04565,0.30983,1.008,0.000825332,0.000825332,0.000825332
53,528.665,0.51213,0.83661,0.31278,0.93759,0.99847,1,0.995,0.88667,0.98104,0.98256,0.9866,0.7309,0.55289,1.05594,0.28161,0.97246,0.000808828,0.000808828,0.000808828
54,538.268,0.51688,0.92016,0.31907,0.94123,0.9989,1,0.995,0.88437,0.99308,0.99419,0.99277,0.71197,0.52778,1.04551,0.2794,0.95649,0.000792325,0.000792325,0.000792325
55,547.782,0.51861,0.84076,0.31755,0.93918,0.99903,1,0.995,0.87845,0.98161,0.98256,0.97591,0.71509,0.54899,1.08992,0.29109,0.95743,0.000775822,0.000775822,0.000775822
56,557.336,0.51871,0.8346,0.31048,0.93953,0.99931,1,0.995,0.86564,0.9935,0.99419,0.98918,0.71129,0.57068,1.07117,0.28442,0.97339,0.000759318,0.000759318,0.000759318
57,566.934,0.50943,0.84768,0.30238,0.93758,0.9992,1,0.995,0.87379,0.98758,0.98837,0.98717,0.71159,0.54618,1.05827,0.27399,0.94687,0.000742815,0.000742815,0.000742815
58,576.533,0.4977,0.83228,0.29885,0.92651,0.99907,1,0.995,0.86521,0.99327,0.99419,0.99039,0.70813,0.57536,1.08373,0.28239,0.95932,0.000726312,0.000726312,0.000726312
59,586.077,0.51007,0.82909,0.30923,0.93377,0.99926,1,0.995,0.88468,0.99345,0.99419,0.99151,0.72216,0.53839,1.05304,0.27417,0.94862,0.000709809,0.000709809,0.000709809
60,595.59,0.49781,0.81748,0.30407,0.93023,0.99905,1,0.995,0.87256,0.99324,0.99419,0.99228,0.7185,0.56335,1.09441,0.29184,0.97057,0.000693305,0.000693305,0.000693305
61,605.095,0.5001,0.822,0.30115,0.93843,0.9989,1,0.995,0.89085,0.99309,0.99419,0.99406,0.7325,0.51174,1.04591,0.26128,0.93131,0.000676802,0.000676802,0.000676802
62,614.735,0.47727,0.79636,0.28667,0.92667,0.99902,1,0.995,0.88383,0.99322,0.99419,0.99079,0.72665,0.53669,1.06767,0.25885,0.94783,0.000660299,0.000660299,0.000660299
63,624.332,0.48107,0.80993,0.29618,0.91386,0.99915,1,0.995,0.87915,0.99335,0.99419,0.99214,0.72792,0.55005,1.07944,0.26594,0.96568,0.000643795,0.000643795,0.000643795
64,633.908,0.5128,0.81524,0.30316,0.94477,0.99932,1,0.995,0.89091,0.99351,0.99419,0.99226,0.72313,0.52807,1.04164,0.26233,0.94609,0.000627292,0.000627292,0.000627292
65,643.638,0.47019,0.76166,0.28133,0.924,0.99899,1,0.995,0.87153,0.99318,0.99419,0.99334,0.70486,0.54833,1.09535,0.27107,0.94675,0.000610789,0.000610789,0.000610789
