epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2098,0.55137,8.56085,1.19027,0.00369,1,0.32793,0.17592,0.49248,3.35325,1.08783,0.000411392,0.000411392,0.000411392
2,33.597,0.54283,3.14657,1.14654,0.00391,0.93939,0.24655,0.09964,0.85556,4.93136,1.64586,0.000811664,0.000811664,0.000811664
3,48.4131,0.56915,2.75011,1.15706,0.00451,0.9531,0.01637,0.00394,0.83797,6.38476,1.41063,0.00119543,0.00119543,0.00119543
