epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4824,0.55137,8.56085,1.19027,0.00369,1,0.32793,0.17592,0.49248,3.35325,1.08783,0.000411392,0.000411392,0.000411392
2,33.8053,0.55439,3.1403,1.15259,0.00425,0.95455,0.03622,0.00926,0.74532,3.7228,1.62736,0.00082396,0.00082396,0.00082396
3,48.4695,0.58265,2.79145,1.17015,0.00352,0.7904,0.00377,0.0012,2.40354,3.86408,4.39026,0.0012324,0.0012324,0.0012324
4,63.1939,0.53086,1.60903,1.1451,0.00596,1,0.11567,0.0825,0.88928,4.88282,1.82592,0.00123144,0.00123144,0.00123144
5,77.8916,0.51623,1.24401,1.12109,0.01425,0.77049,0.01501,0.00679,0.6488,5.09928,1.17592,0.00122525,0.00122525,0.00122525
6,92.9024,0.51353,1.04198,1.09564,0,0,0,0,0.63338,4.58038,1.32865,0.00121906,0.00121906,0.00121906
7,108.445,0.47472,0.77376,1.07924,0,0,0,0,0.66907,4.98333,1.54333,0.00121287,0.00121287,0.00121287
8,123.601,0.46714,0.69299,1.07738,0,0,0,0,1.08188,5.22603,2.80536,0.00120669,0.00120669,0.00120669
9,138.551,0.45111,0.60281,1.09996,0,0,0,0,0.63633,6.52104,1.42819,0.0012005,0.0012005,0.0012005
10,153.453,0.39323,0.49546,1.03119,0,0,0,0,0.44775,6.37189,0.90697,0.00119431,0.00119431,0.00119431
11,168.512,0.39827,0.55922,1.0203,0,0,0,0,0.75946,5.61801,1.64119,0.00118812,0.00118812,0.00118812
