epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39995,0.81307,3.07888,1.49564,0.00892,1,0.28608,0.25025,0.30078,3.26456,0.84173,0.0001625,0.0001625,0.0001625
2,10.2436,0.45111,1.97366,1.14833,0.00681,0.85303,0.06545,0.02747,0.63807,3.32374,1.2631,0.000320794,0.000320794,0.000320794
3,13.7832,0.52739,1.42144,1.23846,0.00428,1,0.43587,0.3873,0.28398,3.24052,0.75151,0.000461763,0.000461763,0.000461763
4,17.1581,0.44538,1.04834,1.0883,0.00442,1,0.37964,0.36569,0.26812,3.2565,0.79083,0.000585406,0.000585406,0.000585406
5,20.2671,0.38689,0.84306,1.04321,0.00618,1,0.31831,0.2802,0.22691,3.29847,0.73758,0.000691725,0.000691725,0.000691725
6,23.4062,0.37217,0.75996,1.03562,0.00595,1,0.22026,0.20024,0.34992,3.23527,0.91117,0.000780719,0.000780719,0.000780719
7,26.505,0.37125,0.67773,1.01803,0.00534,1,0.22667,0.16941,0.42225,3.33262,1.13362,0.000852387,0.000852387,0.000852387
8,29.639,0.34936,0.64486,1.01445,0.00753,1,0.28406,0.24557,0.33886,3.72653,0.89292,0.000816875,0.000816875,0.000816875
9,32.7647,0.33411,0.60362,1.00553,0.01061,1,0.17904,0.10035,0.60082,4.00122,1.09933,0.000755,0.000755,0.000755
10,35.9051,0.34955,0.59965,1.01703,0.0103,1,0.08546,0.0567,0.34632,4.25591,0.77585,0.000693125,0.000693125,0.000693125
11,58.6842,0.25752,1.43392,1.03254,0.00883,1,0.08504,0.08118,0.2486,3.5248,0.7162,0.00063125,0.00063125,0.00063125
12,61.7914,0.22869,1.14387,1.0202,0.00783,1,0.10717,0.08156,0.41133,5.43422,0.93736,0.000569375,0.000569375,0.000569375
13,64.857,0.19884,0.90989,0.95877,0.00815,1,0.0435,0.03314,0.52506,5.29544,1.14876,0.0005075,0.0005075,0.0005075
14,67.9654,0.31877,0.90441,1.09802,0.00795,0.85714,0.02223,0.01929,0.30528,5.95592,0.89449,0.000445625,0.000445625,0.000445625
15,71.0591,0.18751,0.84119,0.9755,0.00964,0.98413,0.03619,0.02988,0.39173,6.16809,0.89275,0.00038375,0.00038375,0.00038375
16,74.1844,0.15663,0.76449,0.95061,0.00975,1,0.14715,0.0905,0.36152,5.18095,0.8146,0.000321875,0.000321875,0.000321875
17,77.2565,0.13849,0.72276,0.9396,0.0096,0.98485,0.15641,0.11109,0.43122,5.53044,0.87506,0.00026,0.00026,0.00026
18,80.4104,0.17717,0.71184,0.98656,0.00908,1,0.15292,0.11118,0.35847,5.33066,0.83376,0.000198125,0.000198125,0.000198125
19,83.4754,0.11885,0.65342,0.91904,0.00908,1,0.18444,0.11985,0.35494,5.52542,0.82319,0.00013625,0.00013625,0.00013625
20,86.606,0.11041,0.64212,0.89723,0.00916,1,0.15849,0.11958,0.36938,5.44484,0.83591,7.4375e-05,7.4375e-05,7.4375e-05
